ciq_symbol,yahoo_symbol,company,fiscal_year,fiscal_period,revenue,gross_profit,ebitda,ebit,net_income,free_cash_flow,gross_margin,ebitda_margin,ebit_margin,net_margin,roe,roic,total_assets,total_debt,cash,net_debt,shares_outstanding,last_update,source
EXAMPLE_DO_NOT_USE,DOL.TO,EXAMPLE COMPANY,2024,FY,5800000000,2320000000,1450000000,1300000000,920000000,800000000,0.40,0.25,0.224,0.1586,0.32,0.22,4200000000,1800000000,350000000,1450000000,310000000,2025-01-01,EXAMPLE — DO NOT USE
TSX:DOL,DOL.TO,Dollarama,,,,,,,,,,,,,,,,,,,,,
TSX:ONEX,ONEX.TO,Onex Corporation,,,,,,,,,,,,,,,,,,,,,
TSX:SHOP,SHOP.TO,Shopify,,,,,,,,,,,,,,,,,,,,,
TSX:WSP,WSP.TO,WSP Global,,,,,,,,,,,,,,,,,,,,,
TSX:L,L.TO,Loblaw Companies,,,,,,,,,,,,,,,,,,,,,
TSX:NA,NA.TO,National Bank of Canada,,,,,,,,,,,,,,,,,,,,,
TSX:SJ,SJ.TO,Stella-Jones,,,,,,,,,,,,,,,,,,,,,
TSX:RY,RY.TO,Royal Bank of Canada,,,,,,,,,,,,,,,,,,,,,
TSX:SIS,SIS.TO,Savaria Corporation,,,,,,,,,,,,,,,,,,,,,
TSX:QBR.B,QBR-B.TO,Quebecor,,,,,,,,,,,,,,,,,,,,,
TSX:SLF,SLF.TO,Sun Life Financial,,,,,,,,,,,,,,,,,,,,,
TSX:TD,TD.TO,TD Bank,,,,,,,,,,,,,,,,,,,,,
TSX:BBD.B,BBD-B.TO,Bombardier,,,,,,,,,,,,,,,,,,,,,
TSX:ATD,ATD.TO,Alimentation Couche-Tard,,,,,,,,,,,,,,,,,,,,,
TSX:CSH.UN,CSH-UN.TO,Chartwell Retirement Residences,,,,,,,,,,,,,,,,,,,,,
TSX:GIB.A,GIB-A.TO,CGI Group,,,,,,,,,,,,,,,,,,,,,
TSX:SVI,SVI.TO,StorageVault Canada,,,,,,,,,,,,,,,,,,,,,
TSX:QSR,QSR.TO,Restaurant Brands International,,,,,,,,,,,,,,,,,,,,,
TSX:FTS,FTS.TO,Fortis Inc.,,,,,,,,,,,,,,,,,,,,,
TSX:CCL.B,CCL-B.TO,CCL Industries,,,,,,,,,,,,,,,,,,,,,
TSX:CP,CP.TO,Canadian Pacific Kansas City,,,,,,,,,,,,,,,,,,,,,
TSX:CAR.UN,CAR-UN.TO,CAPREIT,,,,,,,,,,,,,,,,,,,,,
TSX:RCH,RCH.TO,Richelieu Hardware,,,,,,,,,,,,,,,,,,,,,
TSX:WCN,WCN.TO,Waste Connections,,,,,,,,,,,,,,,,,,,,,
TSX:CSU,CSU.TO,Constellation Software,,,,,,,,,,,,,,,,,,,,,
TSX:DSG,DSG.TO,Descartes Systems Group,,,,,,,,,,,,,,,,,,,,,
TSX:ATS,ATS.TO,ATS Corporation,,,,,,,,,,,,,,,,,,,,,
TSX:RCI.B,RCI-B.TO,Rogers Communications,,,,,,,,,,,,,,,,,,,,,
NASDAQ:LULU,LULU,Lululemon Athletica,,,,,,,,,,,,,,,,,,,,,
TSX:CTC.A,CTC-A.TO,Canadian Tire,,,,,,,,,,,,,,,,,,,,,
TSX:MTY,MTY.TO,MTY Food Group,,,,,,,,,,,,,,,,,,,,,
TSX:MG,MG.TO,Magna International,,,,,,,,,,,,,,,,,,,,,
TSX:LNR,LNR.TO,Linamar Corporation,,,,,,,,,,,,,,,,,,,,,
NYSE:GIL,GIL,Gildan Activewear,,,,,,,,,,,,,,,,,,,,,
