ciq_symbol,company,analyst,recommendation,target_price,upside_downside,thesis_status,priority,next_earnings,last_update,source,bull_case,base_case,bear_case,key_risks,key_metrics_to_watch
EXAMPLE_DO_NOT_USE,EXAMPLE COMPANY,Analyst Name,Buy,110.00,0.152,Active,High,Q2 2025,2025-01-01,EXAMPLE — DO NOT USE,Strong volume growth and margin expansion drive 25% upside,Stable execution at current multiples — inline with peers,Margin compression from tariffs + consumer trade-down,FX exposure on imports; margin pressure if tariffs increase,Same-store sales growth; gross margin trend; inventory turns
TSX:DOL,Dollarama,,,,,,,,,,,,,,
TSX:ONEX,Onex Corporation,,,,,,,,,,,,,,
TSX:SHOP,Shopify,,,,,,,,,,,,,,
TSX:WSP,WSP Global,,,,,,,,,,,,,,
TSX:L,Loblaw Companies,,,,,,,,,,,,,,
TSX:NA,National Bank of Canada,,,,,,,,,,,,,,
TSX:SJ,Stella-Jones,,,,,,,,,,,,,,
TSX:RY,Royal Bank of Canada,,,,,,,,,,,,,,
TSX:SIS,Savaria Corporation,,,,,,,,,,,,,,
TSX:QBR.B,Quebecor,,,,,,,,,,,,,,
TSX:SLF,Sun Life Financial,,,,,,,,,,,,,,
TSX:TD,TD Bank,,,,,,,,,,,,,,
TSX:BBD.B,Bombardier,,,,,,,,,,,,,,
TSX:ATD,Alimentation Couche-Tard,,,,,,,,,,,,,,
TSX:CSH.UN,Chartwell Retirement Residences,,,,,,,,,,,,,,
TSX:GIB.A,CGI Group,,,,,,,,,,,,,,
TSX:SVI,StorageVault Canada,,,,,,,,,,,,,,
TSX:QSR,Restaurant Brands International,,,,,,,,,,,,,,
TSX:FTS,Fortis Inc.,,,,,,,,,,,,,,
TSX:CCL.B,CCL Industries,,,,,,,,,,,,,,
TSX:CP,Canadian Pacific Kansas City,,,,,,,,,,,,,,
TSX:CAR.UN,CAPREIT,,,,,,,,,,,,,,
TSX:RCH,Richelieu Hardware,,,,,,,,,,,,,,
TSX:WCN,Waste Connections,,,,,,,,,,,,,,
TSX:CSU,Constellation Software,,,,,,,,,,,,,,
TSX:DSG,Descartes Systems Group,,,,,,,,,,,,,,
TSX:ATS,ATS Corporation,,,,,,,,,,,,,,
TSX:RCI.B,Rogers Communications,,,,,,,,,,,,,,
NASDAQ:LULU,Lululemon Athletica,,,,,,,,,,,,,,
TSX:CTC.A,Canadian Tire,,,,,,,,,,,,,,
TSX:MTY,MTY Food Group,,,,,,,,,,,,,,
TSX:MG,Magna International,,,,,,,,,,,,,,
TSX:LNR,Linamar Corporation,,,,,,,,,,,,,,
NYSE:GIL,Gildan Activewear,,,,,,,,,,,,,,
