ciq_symbol,yahoo_symbol,company,price,market_cap,enterprise_value,pe,forward_pe,ev_ebitda,ev_ebit,ev_sales,price_sales,price_book,fcf_yield,dividend_yield,net_debt_ebitda,last_update,source
EXAMPLE_DO_NOT_USE,DOL.TO,EXAMPLE COMPANY,95.50,29605000000,31055000000,28.5,25.2,21.4,23.9,5.3,5.1,12.6,0.027,0.003,1.0,2025-01-01,EXAMPLE — DO NOT USE
TSX:DOL,DOL.TO,Dollarama,,,,,,,,,,,,,,,
TSX:ONEX,ONEX.TO,Onex Corporation,,,,,,,,,,,,,,,
TSX:SHOP,SHOP.TO,Shopify,,,,,,,,,,,,,,,
TSX:WSP,WSP.TO,WSP Global,,,,,,,,,,,,,,,
TSX:L,L.TO,Loblaw Companies,,,,,,,,,,,,,,,
TSX:NA,NA.TO,National Bank of Canada,,,,,,,,,,,,,,,
TSX:SJ,SJ.TO,Stella-Jones,,,,,,,,,,,,,,,
TSX:RY,RY.TO,Royal Bank of Canada,,,,,,,,,,,,,,,
TSX:SIS,SIS.TO,Savaria Corporation,,,,,,,,,,,,,,,
TSX:QBR.B,QBR-B.TO,Quebecor,,,,,,,,,,,,,,,
TSX:SLF,SLF.TO,Sun Life Financial,,,,,,,,,,,,,,,
TSX:TD,TD.TO,TD Bank,,,,,,,,,,,,,,,
TSX:BBD.B,BBD-B.TO,Bombardier,,,,,,,,,,,,,,,
TSX:ATD,ATD.TO,Alimentation Couche-Tard,,,,,,,,,,,,,,,
TSX:CSH.UN,CSH-UN.TO,Chartwell Retirement Residences,,,,,,,,,,,,,,,
TSX:GIB.A,GIB-A.TO,CGI Group,,,,,,,,,,,,,,,
TSX:SVI,SVI.TO,StorageVault Canada,,,,,,,,,,,,,,,
TSX:QSR,QSR.TO,Restaurant Brands International,,,,,,,,,,,,,,,
TSX:FTS,FTS.TO,Fortis Inc.,,,,,,,,,,,,,,,
TSX:CCL.B,CCL-B.TO,CCL Industries,,,,,,,,,,,,,,,
TSX:CP,CP.TO,Canadian Pacific Kansas City,,,,,,,,,,,,,,,
TSX:CAR.UN,CAR-UN.TO,CAPREIT,,,,,,,,,,,,,,,
TSX:RCH,RCH.TO,Richelieu Hardware,,,,,,,,,,,,,,,
TSX:WCN,WCN.TO,Waste Connections,,,,,,,,,,,,,,,
TSX:CSU,CSU.TO,Constellation Software,,,,,,,,,,,,,,,
TSX:DSG,DSG.TO,Descartes Systems Group,,,,,,,,,,,,,,,
TSX:ATS,ATS.TO,ATS Corporation,,,,,,,,,,,,,,,
TSX:RCI.B,RCI-B.TO,Rogers Communications,,,,,,,,,,,,,,,
NASDAQ:LULU,LULU,Lululemon Athletica,,,,,,,,,,,,,,,
TSX:CTC.A,CTC-A.TO,Canadian Tire,,,,,,,,,,,,,,,
TSX:MTY,MTY.TO,MTY Food Group,,,,,,,,,,,,,,,
TSX:MG,MG.TO,Magna International,,,,,,,,,,,,,,,
TSX:LNR,LNR.TO,Linamar Corporation,,,,,,,,,,,,,,,
NYSE:GIL,GIL,Gildan Activewear,,,,,,,,,,,,,,,
